Cluster Label,Cluster Name,Top OG,Top OG Description,Top padj,N Enriched OGs,All OGs
21,Ubiquitin Ligase,182952at40674,ribosomal RNA-processing protein 8,4.787731587112365e-12,120,182952at40674;171907at40674;209448at40674;289683at40674;220463at40674;237363at40674;213487at40674;331530at40674;361861at40674;401601at40674
22,Hig Member,451893at40674,Mitochondrial pyruvate carrier 1,3.231229213363403e-32,62,451893at40674;454939at40674;457431at40674;196290at40674;388480at40674;397227at40674;200700at40674;113225at40674;356292at40674;22684at40674
23,Zinc Finger,454433at40674,zinc finger protein 69 homolog,4.8151122903388085e-27,130,454433at40674;86461at40674;243603at40674;382263at40674;454473at40674;421673at40674;204772at40674;232852at40674;381937at40674;99342at40674
24,Repeat Containing,453615at40674,probable ribonuclease ZC3H12C,2.6821394827491425e-19,216,453615at40674;388503at40674;414512at40674;468214at40674;163012at40674;159632at40674;146685at40674;105544at40674;202552at40674;196418at40674
25,Initiation Factor,463759at40674,Myocyte-specific enhancer factor 2C,2.296718253012771e-28,46,463759at40674;308542at40674;451800at40674;399670at40674;464465at40674;208455at40674;204188at40674;112326at40674;384389at40674;282339at40674
26,Receptor Alpha,390704at40674,"Alkaline phosphatase, tissue-nonspecific isozyme",2.5892401297617274e-28,121,390704at40674;467038at40674;451714at40674;184056at40674;468934at40674;456449at40674;208114at40674;151112at40674;196269at40674;197741at40674
27,Kinase Catalytic,251650at40674,"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",2.0926667385488904e-24,38,251650at40674;458836at40674;79993at40674;335598at40674;454595at40674;371322at40674;218319at40674;452368at40674;456974at40674;400765at40674
28,Beta Defensin,335046at40674,sperm-associated antigen 11,2.3573718661591468e-20,102,335046at40674;464179at40674;454043at40674;300312at40674;471310at40674;456499at40674;358347at40674;125697at40674;202850at40674;210299at40674
29,Phosphorylase Kinase,451162at40674,cub and sushi domain-containing,1.773461498491712e-38,17,451162at40674;459383at40674;336508at40674;83092at40674;453043at40674;195531at40674;422306at40674;374632at40674;455876at40674;444853at40674
30,Transmembrane Protease,456871at40674,vitamin K-dependent protein C,7.183760794036333e-28,81,456871at40674;254646at40674;451589at40674;453715at40674;460296at40674;287503at40674;21471at40674;195122at40674;688at40674;464368at40674
31,Charged Multivesicular,331426at40674,erlin-2,1.0974239147997768e-34,41,331426at40674;412071at40674;204127at40674;439163at40674;465540at40674;68286at40674;160687at40674;212703at40674;352195at40674;329731at40674
32,Phospholipid Phosphatase,330206at40674,syntaxin-binding protein 5,2.474718513210259e-29,100,330206at40674;469038at40674;359935at40674;337606at40674;357270at40674;406672at40674;372629at40674;183964at40674;439348at40674;190633at40674
33,Glutamate Receptor,371417at40674,UBA-like domain-containing protein 1,7.819236849874214e-20,64,371417at40674;452547at40674;172557at40674;18907at40674;20166at40674;206102at40674;197549at40674;201647at40674;242020at40674;249479at40674
34,Bone Morphogenetic,455448at40674,sodium-driven chloride bicarbonate exchanger,3.5471779011408245e-34,42,455448at40674;458228at40674;455523at40674;459786at40674;430559at40674;396263at40674;460643at40674;459133at40674;399420at40674;334052at40674
35,Coiled Coil,412574at40674,oral-facial-digital syndrome 1 protein,4.23086141878877e-15,242,412574at40674;397337at40674;463301at40674;462868at40674;464252at40674;465813at40674;109518at40674;116375at40674;210649at40674;216360at40674
36,Transcription Factor,455507at40674,ubiquitin carboxyl-terminal hydrolase,2.397705445314856e-31,107,455507at40674;452342at40674;471676at40674;169217at40674;199286at40674;202020at40674;186731at40674;183056at40674;324716at40674;246185at40674
37,Coenzyme Thioesterase,451898at40674,d-amino-acid oxidase,1.4383493245676193e-26,163,451898at40674;306448at40674;463407at40674;460297at40674;456188at40674;458340at40674;456080at40674;462573at40674;458595at40674;471038at40674
38,Lysine Methyltransferase,451044at40674,Metallophosphoesterase domain-containing protein 1,1.9022535012314893e-24,230,451044at40674;456933at40674;459662at40674;462404at40674;461292at40674;192816at40674;297901at40674;383913at40674;452704at40674;456769at40674
39,Factor Receptor,383746at40674,Tyrosine-protein kinase ZAP-70,3.258466341706921e-26,163,383746at40674;460693at40674;456941at40674;453551at40674;115168at40674;411257at40674;390860at40674;451773at40674;453455at40674;453709at40674
40,Voltage Gated,459011at40674,developmentally-regulated gtp-binding protein 1,1.4584012749244966e-17,66,459011at40674;466290at40674;460082at40674;114026at40674;203875at40674;137845at40674;15201at40674;195545at40674;252702at40674;262296at40674
41,Repeat Containing,389289at40674,protein zyg-11 homolog A,1.5124189245245491e-27,138,389289at40674;203959at40674;464208at40674;458669at40674;200390at40674;205626at40674;198164at40674;162661at40674;208793at40674;213002at40674
42,Vesicle Associated,458801at40674,14-3-3 protein,3.746195807930861e-39,31,458801at40674;455020at40674;470516at40674;403240at40674;458569at40674;209869at40674;360049at40674;200628at40674;448915at40674;451250at40674
43,Regulator Signaling,196125at40674,Protein mago nashi,1.39220273898654e-27,35,196125at40674;327535at40674;391908at40674;375919at40674;453575at40674;452783at40674;26704at40674;387290at40674;452131at40674;451997at40674
44,Solute Carrier,201187at40674,solute carrier organic anion transporter,4.0330814072613966e-30,123,201187at40674;331196at40674;350466at40674;459711at40674;462654at40674;463641at40674;457911at40674;412010at40674;333194at40674;465274at40674
